Author ID,Division,Division Count
1,Asia pacific,984
1,Politics,338
1,Focus,20
1,Analysis,142
1,Explainer,2
1,Science & health,2
1,Gauging trump,1
1,Society,1
2,Asia pacific,60
2,Politics,22
2,Crime & legal,1
2,Focus,4
2,Analysis,3
3,Asia pacific,147
3,Politics,78
3,Analysis,69
3,Focus,15
3,Society,1
3,Explainer,1
3,Science & health,1
3,Q&a,1
4,Asia pacific,75
4,Politics,11
4,Focus,7
4,Analysis,7
4,Crime & legal,4
5,Asia pacific,51
5,Politics,26
5,Crime & legal,1
5,Focus,4
5,Analysis,1
6,Asia pacific,42
6,Society,1
6,Politics,15
6,Focus,6
6,Analysis,3
6,Science & health,1
7,Asia pacific,75
7,Politics,31
7,Analysis,9
7,Crime & legal,2
8,Asia pacific,36
8,Politics,17
8,Focus,2
8,Analysis,8
9,Asia pacific,48
9,Politics,21
9,Analysis,7
9,Focus,7
10,Asia pacific,34
10,Politics,13
10,Society,1
10,Crime & legal,1
10,Focus,1
11,Asia pacific,47
11,Politics,15
11,Society,4
11,Science & health,1
11,Focus,6
11,Analysis,3
11,Crime & legal,1
12,Asia pacific,59
12,Politics,8
12,Focus,7
12,Analysis,18
12,Society,1
12,Crime & legal,1
13,Asia pacific,50
13,Politics,17
13,Analysis,11
13,Focus,4
13,Crime & legal,1
14,Asia pacific,66
14,Politics,15
14,Society,1
14,Analysis,6
14,Focus,2
15,Asia pacific,35
15,Society,5
15,Politics,6
15,Crime & legal,1
16,Asia pacific,35
16,Society,12
16,Analysis,2
16,Focus,1
17,Asia pacific,44
17,Politics,15
17,Society,1
17,Focus,2
17,Analysis,1
17,Crime & legal,1
18,Asia pacific,44
18,Crime & legal,2
18,Society,1
18,Analysis,7
18,Focus,4
18,Politics,3
18,Science & health,1
19,Asia pacific,36
19,Crime & legal,1
19,Politics,3
19,Focus,1
19,Science & health,3
19,Society,2
20,Asia pacific,39
20,Crime & legal,2
20,Politics,16
20,Analysis,8
20,Focus,5
20,Explainer,1
20,Society,2
21,Asia pacific,45
21,Politics,12
21,Focus,7
21,Crime & legal,2
21,Analysis,1
22,Asia pacific,50
22,Politics,16
22,Crime & legal,1
22,Focus,2
22,Analysis,2
