Author ID,Author Category,Author,Article Count
1,101,Jesse Johnson,336
2,101,Gabriel Dominguez,111
3,101,Yukana Inoue,112
4,101,Eric Johnston,454
5,101,Jessica Speed,31
6,101,Kanako Takahara,240
7,101,Gabriele Ninivaggi,166
8,101,Tomoko Otake,201
9,101,Alex K.T. Martin,45
10,101,Michael Hoffman,101
11,101,Karin Kaneko,115
12,101,Tim Kelly,33
13,101,Kathleen Benoza,117
14,101,Isabel Reynolds,90
15,101,Tomohiro Osaki,126
16,101,Tomoyuki Tachikawa,32
17,101,Kazuaki Nagata,40
18,101,Anika Osaki Exum,77
19,101,Rocky Swift,31
20,101,Satoshi Sugiyama,209
21,101,Will Fee,61
22,101,Reito Kaneko,31
23,101,Magdalena Osumi,165
24,101,Osamu Tsukimori,111
25,101,Ryusei Takahashi,198
26,101,Philip Brasor,100
27,101,Patrick St. Michel,38
28,101,Mark Schreiber,48
29,101,Kaori Shoji,44
