Author ID,Date,Date Count
1,2020 Aug,5
1,2020 Dec,1
1,2020 Jul,9
1,2020 Jun,7
1,2020 May,1
1,2020 Nov,4
1,2020 Oct,4
1,2020 Sep,5
1,2021 Apr,6
1,2021 Aug,2
1,2021 Dec,5
1,2021 Feb,4
1,2021 Jan,5
1,2021 Jul,4
1,2021 Jun,3
1,2021 Mar,3
1,2021 May,1
1,2021 Nov,4
1,2021 Oct,7
1,2021 Sep,8
1,2022 Apr,7
1,2022 Aug,10
1,2022 Dec,5
1,2022 Feb,5
1,2022 Jan,9
1,2022 Jul,9
1,2022 Jun,8
1,2022 Mar,7
1,2022 May,7
1,2022 Nov,5
1,2022 Oct,2
1,2022 Sep,3
1,2023 Apr,9
1,2023 Aug,13
1,2023 Dec,4
1,2023 Feb,5
1,2023 Jan,8
1,2023 Jul,11
1,2023 Jun,8
1,2023 Mar,9
1,2023 May,25
1,2023 Nov,12
1,2023 Oct,7
1,2023 Sep,6
1,2024 Apr,17
1,2024 Feb,9
1,2024 Jan,8
1,2024 Mar,16
1,2024 May,4
2,2021 Dec,1
2,2022 Aug,1
2,2022 Dec,5
2,2022 Jan,1
2,2022 Jul,5
2,2022 Jun,3
2,2022 May,1
2,2022 Nov,4
2,2022 Oct,2
2,2022 Sep,4
2,2023 Apr,2
2,2023 Aug,3
2,2023 Dec,6
2,2023 Feb,6
2,2023 Jan,9
2,2023 Jul,6
2,2023 Jun,3
2,2023 Mar,7
2,2023 May,10
2,2023 Nov,10
2,2023 Oct,2
2,2023 Sep,3
2,2024 Apr,5
2,2024 Feb,3
2,2024 Jan,2
2,2024 Mar,4
2,2024 May,3
3,2023 Aug,6
3,2023 Dec,11
3,2023 Jul,14
3,2023 Jun,6
3,2023 Nov,10
3,2023 Oct,8
3,2023 Sep,10
3,2024 Apr,10
3,2024 Feb,5
3,2024 Jan,13
3,2024 Mar,13
3,2024 May,6
4,2020 Apr,9
4,2020 Aug,11
4,2020 Dec,10
4,2020 Feb,6
4,2020 Jan,1
4,2020 Jul,11
4,2020 Jun,12
4,2020 Mar,9
4,2020 May,12
4,2020 Nov,10
4,2020 Oct,10
4,2020 Sep,8
4,2021 Apr,10
4,2021 Aug,10
4,2021 Dec,7
4,2021 Feb,13
4,2021 Jan,9
4,2021 Jul,8
4,2021 Jun,7
