Author ID,Division,Division Count
1,Japan,336
1,Politics,183
1,Focus,28
1,Society,2
1,Analysis,47
1,Science & health,4
1,Explainer,2
1,Crime & legal,3
1,Outlook 2022,1
2,Japan,111
2,Analysis,38
2,Politics,49
2,Focus,18
2,Explainer,3
2,Science & health,2
2,Crime & legal,1
3,Japan,112
3,Science & health,11
3,Society,49
3,Politics,5
3,Crime & legal,22
3,Focus,6
3,Explainer,3
3,First person,1
3,Our planet,1
4,Japan,454
4,Politics,199
4,Focus,52
4,Society,27
4,Analysis,29
4,Regional voices: hokkaido,6
4,Crime & legal,10
4,History,4
4,Explainer,79
4,Science & health,2
4,New normal 2.0,1
4,View from osaka,18
4,Remembering 3,1
4,11,1
5,Japan,31
5,Society,9
5,Science & health,3
5,Crime & legal,6
5,Politics,2
6,Japan,240
6,Science & health,7
6,Crime & legal,37
6,Politics,26
6,Society,15
6,Explainer,20
6,Notebook,1
6,Analysis,4
6,Focus,13
6,Outlook for 2023,1
6,History,1
6,Longform,1
6,New normal 2.0,1
6,First person,1
7,Japan,166
7,Politics,125
7,Focus,26
7,Explainer,3
7,Analysis,10
7,Science & health,1
8,Japan,201
8,Science & health,91
8,Society,12
8,History,1
8,Focus,20
8,Explainer,16
8,Longform,1
8,Crime & legal,7
8,Politics,3
8,New year special 2023,1
8,New normal 2.0,1
9,Japan,45
9,Society,17
9,Perspectives,1
9,Longform,27
9,History,6
9,Science & health,5
9,Crime & legal,2
9,Politics,1
9,Remembering 3,2
9,11,2
10,Japan,101
10,History,53
10,The living past,49
10,Media,48
10,Big in japan,49
11,Japan,115
11,Crime & legal,53
11,Explainer,4
11,Focus,5
11,Society,29
11,Politics,2
11,Science & health,2
12,Japan,33
12,Focus,3
12,Politics,6
12,Analysis,3
12,Society,1
12,Explainer,1
13,Japan,117
13,Politics,13
13,Society,16
13,Science & health,16
13,Explainer,5
13,Crime & legal,20
13,Focus,5
14,Japan,90
14,Politics,32
14,Society,4
14,Focus,18
14,Crime & legal,1
14,Remembering 3,1
14,11,1
14,Analysis,4
14,Science & health,1
15,Japan,126
15,Crime & legal,8
15,Science & health,4
15,Focus,17
15,Society,11
15,Explainer,3
15,Politics,10
15,Obituary,1
15,Media,2
15,Analysis,2
15,Japan pulse,1
16,Japan,32
16,Politics,15
16,Focus,23
16,Analysis,1
16,Science & health,1
17,Japan,40
17,Society,5
17,Politics,3
17,Crime & legal,2
17,Explainer,5
17,Focus,3
17,Analysis,2
17,Science & health,1
18,Japan,77
18,Society,21
18,Science & health,6
18,Crime & legal,7
18,Focus,9
18,Explainer,3
19,Japan,31
19,Analysis,2
19,Science & health,6
19,Focus,1
20,Japan,209
20,Society,2
20,Analysis,29
20,Politics,112
20,Focus,30
20,Outlook 2022,1
20,First person,1
20,Explainer,1
20,Crime & legal,2
20,Science & health,9
21,Japan,61
21,Focus,8
21,Science & health,2
21,Society,2
21,Explainer,7
21,Crime & legal,2
21,Politics,8
21,Analysis,3
22,Japan,31
22,Focus,4
22,Politics,4
22,Analysis,3
22,Science & health,2
22,Society,1
23,Japan,165
23,Science & health,8
23,Society,20
23,Explainer,19
23,Crime & legal,10
23,Focus,5
23,Politics,1
23,First person,1
23,History,1
24,Japan,111
24,Focus,14
24,Science & health,24
24,Explainer,9
24,Outlook 2022,1
24,Politics,2
24,Analysis,3
24,Remembering 3,1
24,11,1
24,Society,1
25,Japan,198
25,Focus,12
25,Politics,14
25,Explainer,3
25,Science & health,9
25,Analysis,15
25,Society,12
25,Remembering 3,1
25,11,1
25,2020 in review,1
26,Japan,100
26,Media,100
26,Media mix,100
27,Japan,38
27,Media,38
27,Japan pulse,39
28,Japan,48
28,Media,48
28,Big in japan,48
29,Japan,44
29,Media,44
29,Big in japan,3
29,Japan pulse,41
