Author ID,Word,Word Count
1,Japan,221
1,US,147
1,China,77
1,Tokyo,71
1,defense,70
1,Kishida,69
1,Korea,58
1,North,53
1,South,50
1,summit,50
1,Japans,50
1,ties,47
1,security,47
1,new,46
1,Japanese,43
1,military,42
1,top,36
1,Minister,34
1,Biden,34
1,leaders,34
2,Japan,80
2,defense,43
2,security,32
2,ties,30
2,new,30
2,China,26
2,Kishida,24
2,US,24
2,Tokyo,23
2,Japans,22
2,military,22
2,countries,18
2,cooperation,18
2,amid,13
2,summit,12
2,joint,12
2,IndoPacific,10
2,Minister,9
2,conflict,9
2,key,9
3,Japan,44
3,Tokyo,18
3,Japans,13
3,drug,9
3,amid,9
3,following,8
3,University,8
3,people,8
3,children,8
3,murder,8
3,fire,7
3,high,7
3,scandal,7
3,Nihon,7
3,football,7
3,quake,6
3,new,6
3,Japanese,6
3,time,6
3,panel,5
4,LDP,115
4,Japan,100
4,Kishida,86
4,Osaka,78
4,Japans,71
4,political,58
4,election,55
4,party,51
4,Tokyo,51
4,opposition,47
4,minister,46
4,new,46
4,prime,44
4,Abe,43
4,Japanese,39
4,House,38
4,scandal,38
4,ruling,37
4,government,37
4,nuclear,36
5,Japan,6
5,Japanese,4
5,online,4
5,safety,4
5,Japans,4
5,school,4
5,Tokyo,4
5,found,3
5,issued,3
5,agency,3
5,third,3
5,lunar,3
5,probe,3
5,survey,3
5,reports,3
5,Police,3
5,household,3
5,killing,3
5,temperatures,3
5,Prefecture,3
6,Japan,124
6,Kishida,42
6,COVID,39
6,Japans,36
6,Tokyo,28
6,new,21
6,people,20
6,government,18
6,Japanese,17
6,ruling,15
6,prime,15
6,status,15
6,time,14
6,minister,14
6,foreign,14
6,political,13
6,policy,13
6,need,13
6,omicron,13
6,death,12
7,Kishida,70
7,Japan,40
7,political,38
7,LDP,30
7,minister,30
7,Japans,29
7,funds,25
7,opposition,24
7,prime,24
7,party,21
7,scandal,19
7,Kishidas,18
7,government,16
7,election,15
7,ties,15
7,lawmakers,14
7,new,13
7,parliament,13
7,ruling,12
7,plan,12
8,Japan,114
8,COVID,73
8,Japans,54
8,new,27
8,health,26
8,people,23
8,cases,23
8,experts,17
8,panel,16
8,study,15
8,vaccine,15
8,government,15
8,Japanese,13
8,ministry,13
8,research,12
8,measures,12
8,wave,12
8,care,12
8,children,11
8,coronavirus,11
9,Japan,16
9,Japans,13
9,Japanese,9
9,Tokyo,8
9,pandemic,6
9,disaster,5
9,earthquake,5
9,nations,5
9,amid,5
9,new,4
9,growing,4
9,city,4
9,social,4
9,COVID,4
9,wolf,4
9,half,3
9,history,3
9,businesses,3
9,state,3
9,ago,3
10,Japan,31
10,Japanese,20
10,Japans,19
10,COVID,12
10,Period,12
10,world,10
10,Edo,9
10,pandemic,9
10,history,8
10,new,8
10,Heian,8
10,things,7
10,time,7
10,modern,7
10,people,6
10,samurai,6
10,times,6
10,news,6
10,need,5
10,different,5
11,Japan,32
11,abuse,22
11,sexual,18
11,Tokyo,17
11,arrested,15
11,Japans,13
11,Johnny,12
11,Johnnys,11
11,people,10
11,million,9
11,report,9
11,Japanese,8
11,Police,8
11,Court,8
11,time,8
11,agency,7
11,law,7
11,women,6
