Author ID,Author Category,Author,Article Count
1,102,Mark Landler,30
2,102,Alberto Nardelli,64
3,102,David E. Sanger,47
4,102,Alex Wickham,34
5,102,Nidal al-Mughrabi,65
6,102,Phil Stewart,37
7,102,Iain Marlow,32
8,102,Helene Cooper,30
9,102,Julian E. Barnes,58
10,102,Eric Schmitt,58
11,102,Gabriel Dominguez,41
12,102,Jesse Johnson,50
13,102,Marc Santora,44
14,102,Peter Martin,35
15,102,Jordan Fabian,31
16,102,Tom Balmforth,45
17,102,Jennifer Jacobs,53
18,102,Will Dunham,32
19,102,Josh Wingrove,45
20,102,Julie Steenhuysen,32
21,102,Jason Gale,34
22,102,Billy House,30
23,102,Maggie Haberman,31
24,102,Natalia Drozdiak,33
25,102,Jonathan Landay,34
26,102,Thomas Gibbons-Neff,31
27,102,Apoorva Mandavilli,31
28,102,Kitty Donaldson,34
29,102,Anton Troianovski,70
30,102,Peter Baker,30
31,102,Steven Erlanger,39
32,102,Andrew E. Kramer,48
33,102,Justin Sink,38
34,102,Nick Wadhams,31
35,102,Marc Champion,52
36,102,Pavel Polityuk,36
