Author ID,Word,Word Count
1,Britain,8
1,world,7
1,Charles,6
1,Trump,5
1,Boris,5
1,war,5
1,Johnson,5
1,Truss,5
1,economic,5
1,leaders,4
1,Liz,4
1,US,3
1,UK,3
1,monarchy,3
1,comeback,3
1,government,3
1,party,3
1,prime,3
1,minister,3
1,Party,3
2,Ukraine,37
2,Russia,25
2,US,22
2,EU,19
2,Russian,13
2,Europe,13
2,China,12
2,allies,12
2,Putin,11
2,war,8
2,deal,8
2,trade,7
2,Moscow,7
2,Ukraines,7
2,weapons,7
2,officials,6
2,military,6
2,NATO,6
2,Putins,6
2,new,5
3,US,25
3,nuclear,19
3,Ukraine,18
3,Biden,17
3,Putin,16
3,weapons,15
3,Russia,14
3,officials,11
3,new,10
3,Russias,8
3,President,8
3,next,7
3,Washington,7
3,war,7
3,Russian,6
3,allies,6
3,Irans,5
3,world,5
3,military,5
3,Bidens,5
4,Sunak,16
4,UK,16
4,Sunaks,9
4,ministers,8
4,election,7
4,Tory,7
4,US,7
4,allies,7
4,prime,7
4,Rishi,7
4,Ukraine,6
4,voters,6
4,minister,6
4,Tories,5
4,EU,5
4,deal,4
4,Rwanda,4
4,plan,4
4,government,4
4,Ukraines,4
5,Gaza,65
5,Israel,41
5,Hamas,33
5,Israeli,29
5,war,13
5,Palestinians,13
5,US,13
5,Rafah,12
5,aid,12
5,forces,10
5,Israels,10
5,people,10
5,Gazas,10
5,killed,10
5,military,9
5,ceasefire,9
5,strike,8
5,hospital,7
5,Strip,6
5,truce,6
6,US,42
6,military,10
6,Ukraine,8
6,Russian,8
6,war,7
6,defense,6
6,air,6
6,Trump,6
6,allies,5
6,strike,5
6,forces,5
6,Pentagon,5
6,Russia,5
6,States,4
6,attack,4
6,drone,4
6,troops,4
6,Washington,4
6,far,4
6,NATO,4
7,US,33
7,China,8
7,Biden,7
7,Israel,6
7,Chinas,6
7,President,5
7,Taiwan,5
7,Gaza,4
7,Iran,4
7,Xi,4
7,key,3
7,Middle,3
7,East,3
7,Bidens,3
7,officials,3
7,strikes,3
7,wider,3
7,war,3
7,ago,3
7,Houthis,3
8,US,23
8,Ukraine,20
8,officials,16
8,Russian,13
8,military,12
8,Russia,10
8,weapons,9
8,troops,9
8,war,8
8,Ukrainian,7
8,documents,6
8,plans,5
8,Putin,5
8,intelligence,4
8,American,4
8,strike,4
8,weeks,4
8,Russias,4
8,Biden,4
8,tanks,4
9,US,40
9,officials,26
9,Ukraine,22
9,military,20
9,war,17
9,Russia,16
9,Russian,15
9,weapons,14
9,intelligence,13
9,Putin,11
9,nuclear,9
9,Russias,7
9,Ukrainian,7
9,American,6
9,new,6
9,troops,6
9,Moscow,6
9,attacks,5
9,Trump,5
9,spy,5
10,US,44
10,Ukraine,36
10,officials,20
10,military,20
10,Russian,15
10,weapons,14
10,war,12
